true_radius,predicted_radius,radius_error,ruler
[0.855],[0.8469656],[0.00939697],1.5684798e-05
[1.443],[1.4200672],[0.01589242],1.5684798e-05
[0.855],[0.8481918],[0.00796283],1.5684798e-05
[1.443],[1.4212064],[0.01510298],1.5684798e-05
[1.443],[1.4237719],[0.01332509],1.5684798e-05
[1.443],[1.4215307],[0.0148782],1.5684798e-05
[1.443],[1.4211252],[0.01515924],1.5684798e-05
[0.855],[0.849972],[0.00588071],1.5684798e-05
[1.443],[1.4210906],[0.0151832],1.5684798e-05
[0.855],[0.8467674],[0.00962876],1.5684798e-05
[1.443],[1.4225132],[0.01419731],1.5684798e-05
[0.855],[0.8476755],[0.00856669],1.5684798e-05
[1.443],[1.4205134],[0.01558321],1.5684798e-05
[1.443],[1.4220507],[0.01451784],1.5684798e-05
[0.855],[0.8471671],[0.00916134],1.5684798e-05
[1.443],[1.4239535],[0.01319919],1.5684798e-05
[0.855],[0.84630555],[0.01016897],1.5684798e-05
[1.443],[1.4196992],[0.01614745],1.5684798e-05
[0.855],[0.8485674],[0.0075235],1.5684798e-05
[0.855],[0.8474403],[0.00884177],1.5684798e-05
[0.855],[0.8482018],[0.00795112],1.5684798e-05
[1.443],[1.4228225],[0.01398301],1.5684798e-05
[1.443],[1.4204743],[0.0156103],1.5684798e-05
[1.443],[1.4218841],[0.01463333],1.5684798e-05
[0.855],[0.847959],[0.00823513],1.5684798e-05
[0.855],[0.84603614],[0.01048407],1.5684798e-05
[0.855],[0.8477102],[0.00852611],1.5684798e-05
[1.443],[1.4244612],[0.01284734],1.5684798e-05
[0.855],[0.84950286],[0.00642942],1.5684798e-05
[0.855],[0.84669644],[0.00971179],1.5684798e-05
[1.443],[1.4189699],[0.01665287],1.5684798e-05
[1.443],[1.4234344],[0.01355896],1.5684798e-05
[0.855],[0.84538966],[0.01124018],1.5684798e-05
[1.443],[1.418784],[0.01678166],1.5684798e-05
[0.855],[0.84953064],[0.00639694],1.5684798e-05
[1.443],[1.4210265],[0.01522764],1.5684798e-05
[0.855],[0.84743434],[0.00884875],1.5684798e-05
[0.855],[0.84821177],[0.00793948],1.5684798e-05
[1.443],[1.4194438],[0.0163244],1.5684798e-05
[1.443],[1.4194943],[0.01628946],1.5684798e-05
[0.855],[0.84841675],[0.00769973],1.5684798e-05
[0.855],[0.845683],[0.01089712],1.5684798e-05
[1.443],[1.419949],[0.01597429],1.5684798e-05
[1.443],[1.4195969],[0.01621833],1.5684798e-05
[1.443],[1.4221909],[0.01442069],1.5684798e-05
[0.855],[0.8504311],[0.00534378],1.5684798e-05
[1.443],[1.4196193],[0.0162028],1.5684798e-05
[0.855],[0.84410375],[0.01274417],1.5684798e-05
[0.855],[0.84862125],[0.00746055],1.5684798e-05
[1.443],[1.4169672],[0.01804075],1.5684798e-05
[1.443],[1.4211257],[0.01515891],1.5684798e-05
[1.443],[1.4192162],[0.01648219],1.5684798e-05
[0.855],[0.84791267],[0.0082893],1.5684798e-05
[1.443],[1.4197334],[0.01612374],1.5684798e-05
[1.443],[1.4229639],[0.01388503],1.5684798e-05
[0.855],[0.8487753],[0.00728034],1.5684798e-05
[1.443],[1.4224721],[0.01422581],1.5684798e-05
[0.855],[0.8473434],[0.00895513],1.5684798e-05
[0.855],[0.84457165],[0.01219692],1.5684798e-05
[1.443],[1.4242318],[0.01300637],1.5684798e-05
[0.855],[0.8489636],[0.00706012],1.5684798e-05
[1.443],[1.4206254],[0.01550555],1.5684798e-05
[1.443],[1.4225155],[0.01419574],1.5684798e-05
[1.443],[1.4187615],[0.01679727],1.5684798e-05
[0.855],[0.8514631],[0.00413677],1.5684798e-05
[0.855],[0.8451194],[0.01155626],1.5684798e-05
[1.443],[1.4208759],[0.01533198],1.5684798e-05
[0.855],[0.8496873],[0.00621373],1.5684798e-05
[0.855],[0.84332126],[0.01365936],1.5684798e-05
[0.855],[0.84500986],[0.01168439],1.5684798e-05
[1.443],[1.4209824],[0.01525821],1.5684798e-05
[1.443],[1.4195883],[0.01622428],1.5684798e-05
[1.443],[1.4178565],[0.01742447],1.5684798e-05
[1.443],[1.4215949],[0.01483375],1.5684798e-05
[0.855],[0.8439147],[0.0129653],1.5684798e-05
[0.855],[0.8537056],[0.00151396],1.5684798e-05
[1.443],[1.4194486],[0.0163211],1.5684798e-05
[1.443],[1.420157],[0.01583022],1.5684798e-05
[0.855],[0.84607595],[0.01043751],1.5684798e-05
[1.443],[1.4196131],[0.01620709],1.5684798e-05
[1.443],[1.4181738],[0.01720455],1.5684798e-05
[1.443],[1.4180464],[0.01729286],1.5684798e-05
[0.855],[0.84889597],[0.00713924],1.5684798e-05
[1.443],[1.4179336],[0.01737102],1.5684798e-05
[1.443],[1.4207191],[0.01544062],1.5684798e-05
[1.443],[1.4196993],[0.01614737],1.5684798e-05
[1.443],[1.4185251],[0.01696109],1.5684798e-05
[0.855],[0.8462501],[0.0102338],1.5684798e-05
[0.855],[0.8462434],[0.01024168],1.5684798e-05
[1.443],[1.4199533],[0.01597132],1.5684798e-05
[0.855],[0.8474308],[0.00885286],1.5684798e-05
[1.443],[1.4177798],[0.01747759],1.5684798e-05
[1.443],[1.4202666],[0.01575421],1.5684798e-05
[1.443],[1.4226892],[0.01407537],1.5684798e-05
[0.855],[0.8470113],[0.0093435],1.5684798e-05
[1.443],[1.4229525],[0.01389288],1.5684798e-05
[1.443],[1.422055],[0.01451487],1.5684798e-05
[0.855],[0.849901],[0.00596374],1.5684798e-05
[0.855],[0.84807324],[0.00810149],1.5684798e-05
[1.443],[1.4214845],[0.01491025],1.5684798e-05
[0.855],[0.8455587],[0.01104247],1.5684798e-05
[0.855],[0.84802145],[0.00816207],1.5684798e-05
[1.443],[1.4246608],[0.01270905],1.5684798e-05
[1.443],[1.4198972],[0.01601023],1.5684798e-05
[0.855],[0.848702],[0.00736609],1.5684798e-05
[0.855],[0.84922],[0.00676028],1.5684798e-05
[0.855],[0.8447885],[0.01194331],1.5684798e-05
[1.443],[1.4171848],[0.0178899],1.5684798e-05
[1.443],[1.4189057],[0.01669731],1.5684798e-05
[0.855],[0.8454755],[0.01113979],1.5684798e-05
[0.855],[0.84724975],[0.00906465],1.5684798e-05
[0.855],[0.85068464],[0.00504722],1.5684798e-05
[0.855],[0.84989446],[0.00597141],1.5684798e-05
[0.855],[0.84773403],[0.00849823],1.5684798e-05
[1.443],[1.4249789],[0.01248864],1.5684798e-05
[1.443],[1.4211817],[0.01512008],1.5684798e-05
[0.855],[0.84497124],[0.01172957],1.5684798e-05
[0.855],[0.84771603],[0.00851928],1.5684798e-05
[1.443],[1.4220473],[0.01452024],1.5684798e-05
[0.855],[0.85097057],[0.00471281],1.5684798e-05
[0.855],[0.8488999],[0.00713464],1.5684798e-05
[0.855],[0.85082835],[0.00487915],1.5684798e-05
[0.855],[0.8492879],[0.00668081],1.5684798e-05
[1.443],[1.4224017],[0.01427463],1.5684798e-05
[1.443],[1.4226217],[0.01412213],1.5684798e-05
[0.855],[0.8485057],[0.00759572],1.5684798e-05
[0.855],[0.8495163],[0.00641374],1.5684798e-05
[1.443],[1.4227028],[0.01406595],1.5684798e-05
[0.855],[0.8442585],[0.0125632],1.5684798e-05
[1.443],[1.4216857],[0.0147708],1.5684798e-05
[1.443],[1.4182143],[0.01717646],1.5684798e-05
[1.443],[1.4193499],[0.0163895],1.5684798e-05
[1.443],[1.4199594],[0.01596711],1.5684798e-05
[1.443],[1.4186028],[0.01690723],1.5684798e-05
